,STATE,DISTRICT,CASES,cluster
474,KARNATAKA,KOLAR,37917,Low crime area
475,KARNATAKA,KONDAGAON,22767,Low crime area
476,KARNATAKA,MANDYA,67653,High crime area
477,KARNATAKA,MANGALORE CITY,8172,Very low crime area
478,KARNATAKA,MANGALURU CITY,3039,Very low crime area
479,KARNATAKA,MYSORE COMMR.,34375,Low crime area
480,KARNATAKA,MYSORE RURAL,43345,Low crime area
481,KARNATAKA,MYSURU CITY,2766,Very low crime area
482,KARNATAKA,MYSURU DISTRICT,4118,Very low crime area
483,KARNATAKA,RAICHUR,39813,Low crime area
484,KARNATAKA,RAILWAYS,8500,Very low crime area
485,KARNATAKA,RAMANAGAR,30383,Low crime area
486,KARNATAKA,SHIMOGA,67383,High crime area
488,KARNATAKA,TUMAKURU,4523,Very low crime area
489,KARNATAKA,TUMKUR,60766,High crime area
490,KARNATAKA,UDUPI,33057,Low crime area
491,KARNATAKA,UTTAR KANNADA,33156,Low crime area
492,KARNATAKA,UTTARA KANNADA,2783,Very low crime area
493,KARNATAKA,VIJAYAPURA,2931,Very low crime area
494,KARNATAKA,YADGIRI,7604,Very low crime area
496,KERALA,ALAPUZHA,116019,Very high crime area
497,KERALA,CBCID,1339,Very low crime area
498,KERALA,CRIME BRANCH,185,Very low crime area
499,KERALA,ERNAKULAM,30516,Low crime area
500,KERALA,ERNAKULAM COMMR.,135373,Very high crime area
501,KERALA,ERNAKULAM RURAL,152842,Very high crime area
502,KERALA,IDUKKI,73154,High crime area
503,KERALA,KANNUR,84995,High crime area
504,KERALA,KASARGOD,51527,High crime area
505,KERALA,KOLLAM,97571,Very high crime area
506,KERALA,KOLLAM COMMR.,30535,Low crime area
507,KERALA,KOLLAM COMMR.,27684,Low crime area
508,KERALA,KOTTAYAM,127862,Very high crime area
509,KERALA,KOZHIKODE,17140,Very low crime area
510,KERALA,KOZHIKODE COMMR.,48847,Low crime area
511,KERALA,KOZHIKODE RURAL,64825,High crime area
512,KERALA,MALAPPURAM,134136,Very high crime area
513,KERALA,PALAKKAD,107351,Very high crime area
514,KERALA,PATHANAMTHITTA,72010,High crime area
515,KERALA,RAILWAYS,4138,Very low crime area
516,KERALA,THRISSUR,101593,Very high crime area
517,KERALA,THRISSUR COMMR.,24155,Low crime area
518,KERALA,THRISSUR RURAL,62213,High crime area
520,KERALA,TRIVANDRUM,24058,Low crime area
521,KERALA,TRIVANDRUM COMMR.,79705,High crime area
522,KERALA,TRIVANDRUM RURAL,109962,Very high crime area
523,KERALA,WAYANADU,36568,Low crime area
525,LAKSHADWEEP,LAKSHADWEEP,864,Very low crime area
528,MADHYA PRADESH,AGAR,2861,Very low crime area
529,MADHYA PRADESH,ALIRAJPUR,8785,Very low crime area
530,MADHYA PRADESH,ANUPPUR,18392,Very low crime area
531,MADHYA PRADESH,ASHOK NAGAR,28832,Low crime area
532,MADHYA PRADESH,BALAGHAT,38588,Low crime area
533,MADHYA PRADESH,BARWANI,30156,Low crime area
534,MADHYA PRADESH,BETUL,47385,Low crime area
535,MADHYA PRADESH,BHIND,52092,High crime area
536,MADHYA PRADESH,BHOJPUR,152842,Very high crime area
537,MADHYA PRADESH,BHOPAL RAILWAY,2067,Very low crime area
538,MADHYA PRADESH,BHOPAL RLY.,18460,Very low crime area
